,id,P,A,speaker,gender,path,emotion,label
0,2,0.861100712,-0.461313676,SER0027,male,../input/talser/SER0027/2.wav,neutral,2
1,3,0.861100712,-0.561348882,SER0017,female,../input/talser/SER0017/3.wav,neutral,2
2,4,0.342678201,-0.561348882,SER0016,male,../input/talser/SER0016/4.wav,neutral,2
3,5,1.897945736,0.739108792,SER008,female,../input/talser/SER008/5.wav,activate,1
4,6,0.472283829,0.338967969,SER0028,male,../input/talser/SER0028/6.wav,activate,1
5,7,-1.860617474,1.039214409,SER0036,male,../input/talser/SER0036/7.wav,activate,4
6,8,0.472283829,-0.461313676,SER007,male,../input/talser/SER007/8.wav,neutral,2
7,9,0.861100712,0.939179204,SER0018,female,../input/talser/SER0018/9.wav,activate,1
8,10,-1.212589335,-0.261243265,SER0038,female,../input/talser/SER0038/10.wav,positive,3
9,11,1.120311968,-0.461313676,SER0040,male,../input/talser/SER0040/11.wav,neutral,2
10,12,-0.305349939,0.439003175,SER0028,male,../input/talser/SER0028/12.wav,activate,4
11,13,1.509128852,-1.961841762,SER0020,male,../input/talser/SER0020/13.wav,neutral,2
12,15,-2.897462498,1.139249615,SER005,male,../input/talser/SER005/15.wav,activate,4
13,16,0.731495085,1.039214409,SER009,female,../input/talser/SER009/16.wav,activate,1
14,18,-2.249434358,2.239636878,SER003,female,../input/talser/SER003/18.wav,activate,4
15,19,-3.286279382,1.039214409,SER0011,male,../input/talser/SER0011/19.wav,activate,4
16,20,1.63873448,-0.961489705,SER0020,male,../input/talser/SER0020/20.wav,neutral,2
17,21,-2.11982873,0.839143998,SER005,male,../input/talser/SER005/21.wav,activate,4
18,22,-0.175744311,-1.661736145,SER0025,male,../input/talser/SER0025/22.wav,positive,3
19,24,0.861100712,0.338967969,SER0029,female,../input/talser/SER0029/24.wav,activate,1
20,25,-0.434955567,-0.661384088,SER0034,female,../input/talser/SER0034/25.wav,positive,3
21,26,-1.342194963,0.138897558,SER005,male,../input/talser/SER005/26.wav,activate,4
