,path,emotion
1,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1002.wav,negative
2,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1004.wav,negative
4,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1009.wav,negative
5,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1016.wav,negative
6,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1021.wav,negative
7,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/104.wav,negative
8,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1045.wav,negative
11,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1061.wav,negative
15,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/109.wav,negative
17,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1104.wav,negative
20,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1119.wav,negative
22,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1129.wav,negative
23,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1131.wav,negative
25,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1134.wav,negative
26,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1137.wav,negative
28,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1143.wav,negative
29,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1148.wav,negative
31,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1154.wav,negative
32,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1156.wav,negative
35,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1162.wav,negative
38,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1176.wav,negative
39,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1178.wav,negative
40,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1180.wav,negative
42,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1191.wav,negative
43,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1193.wav,negative
44,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1195.wav,negative
46,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1199.wav,negative
47,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/12.wav,negative
49,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1201.wav,negative
50,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1215.wav,negative
51,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1218.wav,negative
52,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1220.wav,negative
54,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1233.wav,negative
55,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1238.wav,negative
56,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1239.wav,negative
57,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1244.wav,negative
58,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/125.wav,negative
59,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1252.wav,negative
60,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1253.wav,negative
62,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1258.wav,negative
65,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1261.wav,negative
66,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1263.wav,negative
67,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1268.wav,negative
68,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1269.wav,negative
69,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/127.wav,negative
70,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1271.wav,negative
71,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1276.wav,negative
73,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1289.wav,negative
74,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1291.wav,negative
75,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/130.wav,negative
76,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1302.wav,negative
79,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1324.wav,negative
80,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1328.wav,negative
81,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1329.wav,negative
82,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/133.wav,negative
84,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1341.wav,negative
86,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1343.wav,negative
87,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1344.wav,negative
88,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1349.wav,negative
90,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1353.wav,negative
92,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1358.wav,negative
93,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/137.wav,negative
94,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1370.wav,negative
96,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1374.wav,negative
98,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1378.wav,negative
100,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1381.wav,negative
102,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1384.wav,negative
103,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1388.wav,negative
104,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1389.wav,negative
106,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1393.wav,negative
107,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/140.wav,negative
108,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1408.wav,negative
109,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/141.wav,negative
110,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1411.wav,negative
112,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1417.wav,negative
113,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1419.wav,negative
115,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1428.wav,negative
116,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1431.wav,negative
117,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1438.wav,negative
119,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1442.wav,negative
120,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1446.wav,negative
122,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1454.wav,negative
123,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1456.wav,negative
124,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1457.wav,negative
125,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1465.wav,negative
127,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1468.wav,negative
128,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1473.wav,negative
129,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1475.wav,negative
130,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1478.wav,negative
131,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1485.wav,negative
132,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1495.wav,negative
133,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1497.wav,negative
135,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1499.wav,negative
136,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/15.wav,negative
137,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1501.wav,negative
138,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1504.wav,negative
139,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1506.wav,negative
140,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1508.wav,negative
141,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/151.wav,negative
143,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1516.wav,negative
144,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1521.wav,negative
145,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1522.wav,negative
146,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1525.wav,negative
147,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1526.wav,negative
148,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1527.wav,negative
149,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/153.wav,negative
151,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1534.wav,negative
152,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1536.wav,negative
153,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/154.wav,negative
154,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1548.wav,negative
155,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/155.wav,negative
156,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1550.wav,negative
158,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1559.wav,negative
159,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/156.wav,negative
160,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1566.wav,negative
161,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1572.wav,negative
163,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1583.wav,negative
164,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1584.wav,negative
165,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1586.wav,negative
167,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1588.wav,negative
169,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1592.wav,negative
170,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1593.wav,negative
171,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1598.wav,negative
174,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1608.wav,negative
175,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1609.wav,negative
176,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/161.wav,negative
178,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1618.wav,negative
179,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1620.wav,negative
180,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1625.wav,negative
181,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1630.wav,negative
182,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1632.wav,negative
186,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1650.wav,negative
187,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1657.wav,negative
188,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1659.wav,negative
189,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1660.wav,negative
190,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1661.wav,negative
191,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1669.wav,negative
192,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1670.wav,negative
193,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1671.wav,negative
194,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1672.wav,negative
195,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1673.wav,negative
196,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1678.wav,negative
198,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1683.wav,negative
199,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1693.wav,negative
200,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1697.wav,negative
202,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/170.wav,negative
203,E:/PyCharmProject/Speech-Emotion-Recognition-master/datastet/hwl/negative/1708.wav,negative
